Subject;Condition;Trial;DV1;DV2;DV3;EXP1;IV1;IV2
3;1;1;3,5;1;2,5;3;3;100
3;2;1;2,5;1;3,5;4;2;100
3;3;1;3,5;1;2,6;5;5;10
3;1;2;4;0;1,4;6;4;23
3;2;2;5;0;4,4;7;7;33
3;3;2;1;0;3;8;1;45
3;1;3;1;1;2,7;4;5;267
3;2;3;3,5;1;1;2;7;600
3;3;3;2;1;2;1;1;155
3;1;1;2,6;1;3;3;3;100
3;2;1;3;1;2,3;4;2;100
3;3;1;3,3;0;4;5;5;10
3;1;2;2,6;0;5;6;4;23
3;2;2;2,2;1;5;7;7;33
3;3;2;3;1;3,5;8;1;45
3;1;1;1,5;1;3,8;4;5;267
3;2;1;1,6;1;4,4;2;7;600
3;3;1;2,2;0;5;1;1;155
3;1;2;2,3;0;6;3;3;100
3;2;2;6;1;7,2;4;2;100
3;3;2;6,2;0;3;5;5;10
3;1;3;7;0;2,3;6;4;23
3;2;3;3,5;1;3,3;7;7;33
3;3;3;3,4;0;2,6;8;1;45
3;1;1;3;0;4;4;5;267
3;2;1;2,7;1;3,2;2;7;600
3;3;1;2,5;1;3;1;1;155
3;1;2;2,6;1;1,4;3;3;100
3;2;2;7;1;4,5;4;2;100
3;3;2;3,5;0;1,5;5;5;10
3;1;3;3,7;0;1,6;6;4;23
3;2;3;4;1;3,5;7;7;33
3;3;3;5;1;3,7;8;1;45
3;1;1;3,5;1;4,5;4;5;267
3;2;1;3,3;0;6,7;2;7;600
3;3;1;2,4;1;3,2;1;1;155
3;1;2;2,3;0;1;3;3;100
3;2;2;2,7;0;2,2;4;2;100
3;3;2;1,8;1;2,3;5;5;10
3;1;3;1,3;1;4;6;4;23
3;2;3;1,5;1;1;7;7;33
3;3;3;6,6;1;3;8;1;45
3;1;1;6,7;0;4;4;5;267
3;2;1;6,8;0;3,7;2;7;600
3;3;1;2,2;1;4;1;1;155
3;1;2;3,7;1;2,6;3;3;100
3;2;2;3,5;1;3;4;2;100
3;3;2;3,3;1;1,7;5;5;10
3;1;3;3,5;0;4;6;4;23
3;2;3;6;1;1,7;7;7;33
3;3;3;5,1;0;2;8;1;45
3;1;1;5,4;1;2,5;3;3;100
3;2;1;3,5;1;3,5;4;2;100
3;3;1;4,4;1;2;5;5;10
3;1;2;4,1;0;1;6;4;23
3;2;2;2,1;0;4,4;7;7;33
3;3;2;2,2;0;3;8;1;45
3;1;3;2,3;1;2;4;5;267
3;2;3;1,5;1;1,7;2;7;600
3;3;3;1,6;0;1,8;1;1;155
3;1;1;1,2;1;2;3;3;100
3;2;1;2,5;1;2,3;4;2;100
3;3;1;3,5;1;4;5;5;10
3;1;2;4;1;1,5;6;4;23
3;2;2;1,9;1;1,6;7;7;33
3;3;2;1,4;1;3,5;8;1;45
3;1;1;3,3;0;5;4;5;267
3;2;1;7;0;4,5;2;7;600
3;3;1;2,2;0;2;1;1;155
3;1;2;2,4;0;3,2;3;3;100
3;2;2;2,5;1;1;4;2;100
3;3;2;4,5;1;2,2;5;5;10
3;1;3;3,5;1;2,3;6;4;23
3;2;3;3,5;0;3,2;7;7;33
3;3;3;3;0;2,6;8;1;45
3;1;1;2;0;4;4;5;267
3;2;1;1;1;5;2;7;600
3;3;1;4;1;3,8;1;1;155
3;1;2;5;1;2,5;3;3;100
3;2;2;6;1;1,6;4;2;100
3;3;2;3,5;0;1,5;5;5;10
3;1;3;3,6;0;1,6;6;4;23
3;2;3;2,5;1;3,5;7;7;33
3;3;3;2,2;1;3,7;8;1;45
3;1;1;2;1;4,5;4;5;267
3;2;1;2,9;0;6,7;2;7;600
3;3;1;4;1;3,2;1;1;155
3;1;2;3,5;1;1;3;3;100
3;2;2;4;1;2,2;4;2;100
3;3;2;1;0;2,3;5;5;10
3;1;3;1,3;0;4;6;4;23
3;2;3;1,4;0;2,6;7;7;33
3;3;3;5;1;4;8;1;45
3;1;1;2,6;0;2,7;4;5;267
3;2;1;3,8;0;3;2;7;600
3;3;1;2,6;1;1,7;1;1;155
3;1;2;2,2;1;2,4;3;3;100
3;2;2;2,4;1;3,2;4;2;100
3;3;2;3,3;1;4,1;5;5;10
3;1;3;3,5;0;4;6;4;23
3;2;3;1;0;1,7;7;7;33
3;3;3;2;1;1;8;1;45
